,IP,Datetime,Request,StatusCode,Target
65,208.80.193.39,[09/Jun/2010:09:05:23 +0100],GET / HTTP/1.0,403,1
66,69.58.178.27,[10/Jun/2010:12:24:21 +0100],GET /robots.txt HTTP/1.1,403,1
67,69.58.178.27,[10/Jun/2010:12:24:22 +0100],GET / HTTP/1.1,403,1
68,208.80.193.39,[10/Jun/2010:17:23:36 +0100],GET / HTTP/1.0,403,1
69,67.195.111.233,[10/Jun/2010:20:35:33 +0100],GET /robots.txt HTTP/1.0,403,1
70,67.195.111.233,[10/Jun/2010:20:35:34 +0100],GET / HTTP/1.0,403,1
71,208.80.193.34,[11/Jun/2010:22:14:39 +0100],GET / HTTP/1.0,403,1
72,65.52.108.59,[12/Jun/2010:17:10:38 +0100],GET /robots.txt HTTP/1.1,403,1
73,65.52.108.59,[12/Jun/2010:17:11:46 +0100],GET / HTTP/1.1,403,1
74,208.80.193.39,[13/Jun/2010:02:40:42 +0100],GET / HTTP/1.0,403,1
75,174.129.178.134,[13/Jun/2010:05:25:55 +0100],GET /robots.txt HTTP/1.0,403,1
76,174.129.178.134,[13/Jun/2010:05:25:55 +0100],GET /construcao.jpg HTTP/1.0,403,1
77,66.249.65.252,[14/Jun/2010:05:11:58 +0100],GET /robots.txt HTTP/1.1,403,1
78,66.249.65.252,[14/Jun/2010:05:11:58 +0100],GET / HTTP/1.1,403,1
79,208.80.193.39,[14/Jun/2010:06:58:24 +0100],GET / HTTP/1.0,403,1
80,66.249.65.226,[14/Jun/2010:21:53:02 +0100],GET /robots.txt HTTP/1.1,403,1
81,66.249.65.226,[14/Jun/2010:21:53:02 +0100],GET / HTTP/1.1,403,1
82,208.80.193.27,[15/Jun/2010:11:30:22 +0100],GET / HTTP/1.0,403,1
83,67.195.111.233,[15/Jun/2010:18:49:41 +0100],GET /robots.txt HTTP/1.0,403,1
84,67.195.111.233,[15/Jun/2010:18:49:42 +0100],GET / HTTP/1.0,403,1
85,184.73.87.56,[16/Jun/2010:05:14:30 +0100],GET /robots.txt HTTP/1.0,403,1
86,184.73.87.56,[16/Jun/2010:05:14:30 +0100],GET / HTTP/1.0,403,1
87,208.80.193.27,[16/Jun/2010:16:03:32 +0100],GET / HTTP/1.0,403,1
88,208.80.193.121,[17/Jun/2010:20:57:00 +0100],GET / HTTP/1.0,403,1
89,184.73.61.52,[18/Jun/2010:00:08:31 +0100],GET /robots.txt HTTP/1.0,403,1
90,184.73.61.52,[18/Jun/2010:00:08:32 +0100],GET / HTTP/1.0,403,1
91,207.46.13.91,[18/Jun/2010:04:50:41 +0100],GET /robots.txt HTTP/1.1,403,1
92,207.46.13.91,[18/Jun/2010:04:51:42 +0100],GET / HTTP/1.1,403,1
93,93.102.68.93,[18/Jun/2010:06:13:13 +0100],GET / HTTP/1.0,403,1
94,93.102.68.93,[18/Jun/2010:06:13:54 +0100],GET / HTTP/1.0,403,1
95,38.105.83.11,[18/Jun/2010:07:00:25 +0100],GET / HTTP/1.1,403,1
96,88.214.206.87,[18/Jun/2010:07:03:02 +0100],GET / HTTP/1.1,403,1
97,93.102.83.154,[18/Jun/2010:09:58:22 +0100],GET / HTTP/1.0,403,1
98,64.246.165.150,[19/Jun/2010:01:22:26 +0100],GET /robots.txt HTTP/1.0,403,1
99,64.246.165.150,[19/Jun/2010:01:22:27 +0100],GET / HTTP/1.1,403,1
100,208.80.193.27,[19/Jun/2010:05:14:59 +0100],GET / HTTP/1.0,403,1
101,204.236.203.56,[20/Jun/2010:04:25:26 +0100],GET /robots.txt HTTP/1.0,403,1
102,204.236.203.56,[20/Jun/2010:04:25:26 +0100],GET / HTTP/1.0,403,1
103,208.80.193.28,[20/Jun/2010:15:19:04 +0100],GET / HTTP/1.0,403,1
104,203.6.203.68,[20/Jun/2010:20:20:31 +0100],GET /robots.txt HTTP/1.0,403,1
105,203.6.203.68,[20/Jun/2010:20:20:32 +0100],GET / HTTP/1.0,403,1
106,74.52.245.146,[20/Jun/2010:20:46:32 +0100],GET / HTTP/1.0,403,1
107,208.80.193.42,[22/Jun/2010:02:10:52 +0100],GET / HTTP/1.0,403,1
108,66.249.66.129,[22/Jun/2010:09:25:22 +0100],GET /robots.txt HTTP/1.1,403,1
109,66.249.66.129,[22/Jun/2010:09:25:22 +0100],GET /construcao.jpg HTTP/1.1,403,1
110,207.46.13.97,[22/Jun/2010:21:04:33 +0100],GET /robots.txt HTTP/1.1,403,1
111,207.46.13.97,[22/Jun/2010:21:05:18 +0100],GET / HTTP/1.1,403,1
112,207.46.199.42,[23/Jun/2010:09:00:07 +0100],GET /robots.txt HTTP/1.1,403,1
113,207.46.199.42,[23/Jun/2010:09:00:41 +0100],GET / HTTP/1.1,403,1
114,208.80.193.34,[23/Jun/2010:12:22:41 +0100],GET / HTTP/1.0,403,1
115,67.195.111.233,[23/Jun/2010:12:53:48 +0100],GET /robots.txt HTTP/1.0,403,1
116,67.195.111.233,[23/Jun/2010:12:53:48 +0100],GET / HTTP/1.0,403,1
117,208.80.193.39,[24/Jun/2010:21:20:03 +0100],GET / HTTP/1.0,403,1
118,208.80.193.40,[26/Jun/2010:05:36:11 +0100],GET / HTTP/1.0,403,1
119,208.80.193.121,[27/Jun/2010:14:42:25 +0100],GET / HTTP/1.0,403,1
120,207.46.13.144,[27/Jun/2010:15:37:37 +0100],GET /robots.txt HTTP/1.1,403,1
121,207.46.13.144,[27/Jun/2010:15:38:10 +0100],GET / HTTP/1.1,403,1
122,208.80.193.34,[29/Jun/2010:00:56:41 +0100],GET / HTTP/1.0,403,1
123,64.246.178.34,[30/Jun/2010:00:49:36 +0100],GET /robots.txt HTTP/1.0,403,1
124,64.246.178.34,[30/Jun/2010:00:49:37 +0100],GET / HTTP/1.1,403,1
125,208.80.193.121,[30/Jun/2010:11:26:54 +0100],GET / HTTP/1.0,403,1
